sepal_length,sepal_width,petal_length,petal_width,species
4.47,2.7,1.38,0.65,andina
5.36,3.34,1.27,0.48,andina
6.16,2.66,3.63,1.57,borealis
6.09,2.79,6.25,2.1,carinata
5.99,2.55,5.98,1.92,carinata
7.15,2.89,6.24,2.05,carinata
5.28,3.36,1.53,0.89,andina
5.61,2.61,3.85,1.46,borealis
7.26,3.37,3.88,1.37,borealis
5.05,3.12,1.57,0.7,andina
5.88,2.76,4.09,1.55,borealis
5.2,3.16,1.8,0.57,andina
5.42,3.24,1.44,0.5,andina
5.7,2.5,5.0,1.72,borealis
4.51,2.99,1.53,0.57,andina
6.08,2.89,3.76,1.31,borealis
4.68,2.51,1.43,0.73,andina
6.14,2.83,4.38,1.54,borealis
7.02,3.17,5.41,1.89,borealis
4.19,2.58,1.8,0.82,andina
6.33,2.81,5.58,1.95,carinata
6.5,2.97,4.36,1.68,borealis
6.93,3.13,5.88,2.03,carinata
5.13,2.85,1.91,0.71,andina
6.82,2.96,6.75,2.51,carinata
5.87,2.81,4.06,1.24,borealis
5.83,2.9,4.56,1.7,carinata
5.5,3.18,1.64,0.61,andina
5.02,3.45,1.15,0.18,andina
6.23,2.7,4.91,1.75,carinata
6.54,2.85,4.67,1.68,carinata
5.96,2.73,4.11,1.12,borealis
4.93,2.91,1.72,0.78,andina
5.62,2.56,4.29,1.69,borealis
5.99,2.5,4.23,1.7,borealis
5.66,2.66,3.57,1.5,borealis
6.73,3.06,4.58,1.66,borealis
7.13,3.33,5.23,2.01,carinata
6.71,2.86,5.96,2.35,carinata
5.15,3.17,1.5,0.46,andina
4.46,2.85,1.63,0.45,andina
5.19,3.01,1.65,0.68,andina
5.35,3.6,1.61,0.55,andina
6.57,2.82,5.51,1.7,carinata
5.05,3.41,1.62,0.44,andina
5.79,2.65,5.46,2.01,carinata
6.06,2.71,4.14,1.55,borealis
6.72,2.91,5.65,1.84,carinata
6.07,2.83,6.53,2.33,carinata
4.91,2.87,1.47,0.67,andina
5.19,3.32,1.9,0.56,andina
4.56,2.75,1.06,0.17,andina
5.94,2.93,5.03,1.78,borealis
5.89,2.72,3.83,1.58,borealis
5.24,3.18,1.37,0.52,andina
6.5,2.9,3.44,1.43,borealis
5.36,3.37,1.55,0.75,andina
4.49,2.71,1.74,0.67,andina
5.72,3.12,4.66,1.93,borealis
5.9,2.68,4.92,1.77,borealis
6.81,2.77,5.11,1.64,carinata
5.28,3.25,1.42,0.66,andina
5.84,2.95,4.59,1.63,carinata
4.54,2.89,1.41,0.47,andina
5.8,2.55,6.54,2.19,carinata
4.76,3.17,1.51,0.4,andina
6.94,3.19,5.11,1.81,carinata
7.43,3.69,5.88,2.15,carinata
5.9,2.82,3.97,1.57,borealis
6.26,2.78,4.06,1.43,borealis
7.41,3.53,5.67,1.9,carinata
7.16,3.11,5.89,2.03,carinata
5.88,2.63,5.98,2.22,carinata
4.63,3.06,0.89,0.29,andina
4.44,2.99,1.47,0.48,andina
6.22,2.98,4.82,1.73,borealis
4.99,2.99,1.63,0.59,andina
5.58,2.61,3.95,1.32,borealis
5.84,2.5,5.87,2.12,carinata
4.81,3.1,1.57,0.58,andina
7.03,3.29,5.64,1.99,carinata
6.26,2.92,4.39,1.46,borealis
5.98,3.0,3.98,1.42,borealis
5.62,2.7,3.59,1.22,borealis
5.71,2.36,5.35,1.81,carinata
4.66,2.63,1.51,0.59,andina
6.49,3.22,4.53,1.52,borealis
5.09,3.29,1.68,0.6,andina
7.97,3.69,6.38,2.39,carinata
5.75,2.83,3.29,0.97,borealis
7.13,3.22,5.11,1.92,carinata
6.22,2.66,4.49,1.63,borealis
4.66,2.92,1.68,0.52,andina
5.73,2.52,4.57,1.65,borealis
6.25,3.12,5.43,2.03,carinata
4.19,2.62,1.5,0.5,andina
4.83,2.88,1.11,0.4,andina
4.92,3.07,1.3,0.44,andina
7.38,3.3,5.36,1.89,carinata
6.08,2.69,4.93,1.54,carinata
5.81,2.41,5.32,1.88,carinata
5.64,2.75,4.84,1.85,borealis
4.99,2.99,1.6,0.64,andina
6.89,3.26,5.67,1.99,carinata
5.05,3.22,1.53,0.34,andina
7.15,3.13,6.83,2.43,carinata
5.93,2.49,4.96,1.97,carinata
5.8,3.58,1.61,0.37,andina
7.06,3.25,4.9,1.68,carinata
5.94,2.66,5.48,1.87,carinata
4.15,2.47,1.4,0.46,andina
7.35,3.12,5.42,1.92,carinata
5.97,2.78,4.57,1.78,borealis
5.18,3.23,1.32,0.51,andina
6.03,3.68,1.4,0.53,andina
7.62,3.58,6.37,2.25,carinata
4.91,3.02,1.44,0.58,andina
6.41,3.04,3.87,1.35,borealis
6.91,3.08,4.74,1.8,borealis
4.57,2.59,1.44,0.73,andina
5.35,2.7,3.93,1.37,borealis
7.27,3.42,6.94,2.4,carinata
5.44,2.58,4.63,1.73,borealis
6.32,2.77,5.73,2.23,carinata
4.8,3.24,1.4,0.46,andina
