Order Date,Region ,Total Revenue,unitsSold,Discount %
2025-06-25,North America,145628.58,3268,0.2
2025-01-03,APAC,58926.27,1219,6.7
2025-04-08,EMEA,78317.37,1654,6.9
2024-05-23,EMEA,58308.72,1421,9.2
2025-03-07,North America,144793.59,3245,1.9
2025-09-15,North America,139159.92,3496,5.5
2025-03-14,LATAM,29058.57,617,5.0
2025-10-29,North America,146794.48,2984,14.2
2025-06-10,North America,146846.96,3420,8.0
2024-10-09,LATAM,20849.0,477,5.2
2025-12-12,North America,158056.83,3045,11.7
2025-04-01,EMEA,79803.52,1607,4.4
2024-01-31,LATAM,20728.82,501,12.6
2024-08-04,APAC,34601.72,769,3.7
2024-03-04,EMEA,51921.26,1042,3.7
2024-10-31,APAC,51897.26,1247,9.9
2024-06-20,EMEA,52489.18,1316,3.2
2024-06-01,EMEA,41940.61,1056,8.0
2024-12-07,North America,91754.67,1808,1.6
2024-04-20,EMEA,46851.42,1216,2.1
2025-09-11,EMEA,68832.76,1599,2.8
2024-12-05,APAC,56981.91,1158,1.4
2024-07-17,North America,91687.63,2346,3.8
2025-06-05,LATAM,28074.98,702,5.3
2024-10-24,North America,97716.81,2125,4.8
2025-05-30,APAC,79020.42,1738,4.7
2025-08-04,North America,140692.0,2964,12.0
2025-07-11,EMEA,70488.7,1550,4.6
2024-02-23,North America,91854.08,1985,7.4
2025-08-29,APAC,73350.84,1639,9.1
2025-04-21,LATAM,30568.02,599,4.5
2024-12-21,EMEA,49673.49,1242,9.8
2024-08-25,LATAM,13401.98,293,3.1
2025-04-22,North America,138356.14,2861,8.6
2025-01-18,LATAM,20198.35,432,2.4
2025-04-17,EMEA,75315.67,1939,3.2
2025-06-13,EMEA,72968.06,1405,19.0
2025-08-08,EMEA,66190.04,1328,12.9
2024-11-21,North America,100199.49,1975,4.5
2024-11-11,North America,104235.13,2349,2.5
2025-07-03,EMEA,75332.11,1484,5.5
2024-09-01,APAC,40350.2,779,12.3
2024-10-07,LATAM,17339.7,337,3.3
2024-05-22,EMEA,58309.63,1375,7.2
2025-12-06,APAC,69885.54,1702,5.0
2024-09-25,LATAM,18537.64,371,8.6
2025-06-17,LATAM,27907.61,659,3.8
2025-01-14,LATAM,26403.1,511,3.2
2025-12-10,LATAM,25156.04,521,7.0
2025-10-15,APAC,74886.22,1783,5.2
2024-08-14,APAC,47961.67,930,5.9
2025-03-30,LATAM,23267.1,514,6.3
2024-09-22,EMEA,39734.0,941,1.8
2024-02-25,North America,66585.89,1608,7.0
2025-01-12,LATAM,19721.88,450,6.1
2024-11-26,APAC,52055.09,1012,4.5
2024-09-23,APAC,46616.84,1197,1.7
2024-08-29,APAC,42886.5,1061,6.9
2024-01-31,APAC,37786.45,956,11.5
2025-07-10,APAC,74459.68,1810,9.3
2025-09-23,APAC,74991.85,1606,3.2
2025-06-09,North America,143814.41,3684,10.3
2025-07-07,LATAM,27088.66,606,2.6
2025-12-20,LATAM,23023.94,566,7.2
2025-08-24,APAC,65977.38,1401,11.2
2025-06-20,LATAM,,632,5.4
2025-03-04,North America,143657.91,3029,4.1
2024-06-26,LATAM,23289.85,479,6.4
2024-01-16,EMEA,45024.48,1179,7.7
2024-12-13,EMEA,62995.5,1632,5.9
2024-04-08,EMEA,54977.48,1283,5.9
2025-05-21,LATAM,27892.3,538,3.8
2024-06-06,EMEA,51247.85,991,2.6
2025-04-06,APAC,64770.14,1296,4.2
2024-04-06,North America,84905.36,2077,3.5
2024-08-06,EMEA,51589.58,1093,10.4
2024-02-08,LATAM,20378.8,467,11.3
2025-11-25,LATAM,27213.66,707,10.5
2025-05-23,North America,140921.96,2736,6.2
2025-03-29,APAC,65568.42,1294,8.3
2025-12-18,North America,163282.61,3829,1.1
2025-06-11,EMEA,74073.13,1864,20.4
2024-09-16,EMEA,47518.82,1010,5.9
2024-12-24,APAC,58348.27,1439,16.8
2025-07-10,EMEA,69049.15,1546,2.3
2025-01-23,LATAM,26713.91,627,1.5
2024-12-21,APAC,52664.28,1067,7.4
2025-11-16,North America,130867.3,3327,7.5
2025-10-05,LATAM,19636.44,485,7.8
2024-10-19,APAC,40162.49,809,7.1
2024-01-24,APAC,33248.71,651,3.4
2024-08-12,North America,91286.86,2037,6.5
2025-11-01,LATAM,,518,1.1
2024-09-21,LATAM,14823.54,301,2.0
2025-07-15,North America,140212.3,2948,1.5
2025-11-04,LATAM,26377.79,520,13.2
2025-10-06,APAC,78061.8,1565,1.7
2025-07-17,EMEA,69951.81,1656,5.1
2025-01-11,North America,107956.35,2725,8.1
2025-07-30,EMEA,71793.96,1382,5.1
2024-08-25,APAC,34193.77,838,7.6
2024-05-17,North America,91514.68,1786,13.7
2024-08-19,APAC,50495.23,1316,2.3
2024-03-08,LATAM,22531.4,467,4.9
2024-11-07,APAC,51304.53,1295,9.8
2024-04-09,LATAM,23598.9,505,6.6
2024-06-17,APAC,47188.53,996,4.8
2024-11-08,EMEA,53321.05,1275,7.8
2025-03-16,LATAM,22740.36,451,5.5
2024-04-17,EMEA,61762.7,1431,3.8
2024-12-01,APAC,49931.07,1017,6.7
2025-03-09,North America,112038.15,2479,5.2
2024-11-12,LATAM,23626.16,473,7.7
2024-10-17,LATAM,21465.13,497,4.5
2025-03-13,LATAM,31470.3,708,4.2
2025-05-30,EMEA,76721.64,2011,6.9
2024-05-15,North America,97247.32,2554,7.6
2024-09-11,LATAM,18944.73,371,4.0
