reading_id,particulate_ugm3,humidity_pct,sensor_status
1,28.21,68.5,degraded
2,12.41,81.0,ok
3,9.62,36.1,ok
4,9.41,56.0,ok
5,15.88,71.6,ok
6,16.03,46.7,ok
7,8.22,44.2,ok
8,21.88,42.2,ok
9,5.63,52.8,ok
10,11.28,19.3,ok
11,12.53,75.5,ok
12,7.08,54.4,ok
13,20.63,59.3,ok
14,21.63,26.1,ok
15,29.32,63.4,ok
16,14.68,71.9,ok
17,12.0,46.3,ok
18,21.65,43.3,ok
19,10.09,45.5,ok
20,6.68,46.7,ok
21,7.28,73.0,ok
22,5.49,71.2,ok
23,17.39,46.0,ok
24,28.63,76.8,ok
25,12.83,60.5,ok
26,20.32,65.9,ok
27,20.83,66.1,ok
28,10.77,54.2,ok
29,22.67,63.2,ok
30,17.04,63.2,ok
31,10.24,88.7,ok
32,15.38,55.3,degraded
33,11.51,68.1,ok
34,18.79,48.1,ok
35,17.89,43.4,ok
36,16.73,83.2,ok
37,19.25,85.3,ok
38,5.88,66.8,ok
39,6.19,64.8,ok
40,10.9,47.2,ok
41,11.08,58.6,ok
42,19.05,52.1,ok
43,39.33,45.1,ok
44,20.52,58.7,ok
45,7.21,52.3,ok
46,9.64,39.8,ok
47,15.3,37.8,ok
48,11.83,66.8,ok
49,15.12,56.6,ok
50,12.92,72.9,ok
51,8.22,68.4,ok
52,8.5,78.0,ok
53,15.1,77.5,ok
54,39.79,71.8,degraded
55,9.58,67.5,ok
56,8.29,44.2,ok
57,14.6,63.8,ok
58,23.13,57.5,ok
59,33.43,50.4,ok
60,9.19,43.7,ok
61,19.95,56.2,ok
62,10.44,46.8,ok
63,19.63,63.7,ok
64,13.59,33.9,ok
65,13.43,70.5,ok
66,15.34,80.4,ok
67,13.51,51.1,ok
68,22.91,67.7,ok
69,9.85,78.6,ok
70,13.64,56.9,ok
71,14.92,53.1,ok
72,25.71,43.2,ok
73,8.86,71.1,ok
74,10.03,62.9,ok
75,17.35,65.4,ok
76,10.66,73.6,ok
77,15.42,81.2,ok
78,18.88,48.1,ok
79,20.64,44.5,ok
80,11.86,41.9,ok
81,20.74,60.9,ok
82,6.33,65.5,ok
83,18.84,66.3,ok
84,12.19,54.9,ok
85,4.96,65.3,ok
86,8.76,49.2,ok
87,19.93,45.0,ok
88,4.87,51.8,ok
89,6.51,78.5,ok
90,18.48,47.0,ok
91,5.07,74.6,ok
92,7.56,48.1,degraded
93,16.06,53.8,ok
94,12.09,56.1,ok
95,15.0,72.1,degraded
96,10.97,52.7,ok
97,6.68,39.5,ok
98,13.07,52.2,ok
99,38.85,53.5,ok
100,15.03,49.0,ok
101,17.28,83.1,ok
102,20.59,50.0,ok
103,25.02,58.9,ok
104,145.71,73.6,degraded
105,7.82,56.0,ok
106,9.12,66.9,ok
107,10.66,47.8,degraded
108,6.65,73.8,ok
109,23.3,56.8,ok
110,10.13,66.8,ok
111,6.2,61.7,ok
112,11.67,76.7,ok
113,10.78,42.5,ok
114,14.97,66.3,ok
115,12.71,64.9,ok
116,7.65,66.4,ok
117,11.1,85.1,ok
118,9.32,83.6,degraded
119,19.03,69.3,ok
120,22.36,56.9,ok
121,9.62,56.9,ok
122,10.88,71.2,ok
123,17.63,50.0,ok
124,23.83,72.7,ok
125,9.33,80.5,ok
126,9.5,41.1,ok
127,14.53,62.6,ok
128,10.28,27.9,ok
129,22.62,41.1,ok
130,28.87,44.9,degraded
131,38.69,61.1,ok
132,8.59,56.5,ok
133,6.96,66.4,ok
134,15.04,53.4,ok
135,6.66,50.4,ok
136,29.35,49.6,ok
137,13.12,36.1,ok
138,24.1,53.9,ok
139,13.02,67.9,ok
140,12.21,65.9,ok
141,14.03,58.6,ok
142,5.72,60.4,degraded
143,11.02,65.6,ok
144,10.89,44.5,ok
145,10.87,53.9,ok
146,23.1,55.5,ok
147,20.25,69.5,ok
148,11.68,34.1,degraded
149,24.64,37.4,ok
150,156.64,58.3,degraded
151,4.59,58.2,ok
152,14.51,76.0,ok
153,123.25,72.2,ok
154,16.25,68.5,ok
155,12.33,59.2,ok
156,8.06,87.3,ok
157,15.46,58.8,ok
158,9.63,49.6,ok
159,11.7,63.1,ok
160,22.91,41.5,ok
161,37.32,74.0,degraded
162,9.01,50.6,ok
163,24.72,44.1,ok
164,29.82,65.7,ok
165,6.84,66.6,ok
166,13.99,46.0,ok
167,34.86,62.3,ok
168,16.46,51.8,ok
169,9.35,65.9,ok
170,17.68,56.8,ok
171,11.4,79.0,ok
172,28.43,77.6,ok
173,5.9,75.1,ok
174,8.11,67.6,ok
175,17.28,58.5,ok
176,9.04,51.5,ok
177,26.66,23.9,ok
178,16.91,71.2,ok
179,22.68,50.6,ok
180,15.51,33.2,ok
181,9.45,51.5,ok
182,13.57,73.4,ok
183,27.14,68.5,ok
184,19.93,79.7,ok
185,16.4,73.5,ok
186,20.14,61.5,ok
187,10.16,49.2,ok
188,6.06,53.4,ok
189,17.08,53.1,ok
190,21.33,66.9,ok
191,15.79,53.8,ok
192,15.06,75.4,ok
193,18.31,57.2,ok
194,11.01,52.1,ok
195,13.63,76.9,ok
196,21.98,48.9,ok
197,11.37,61.3,ok
198,21.66,60.1,ok
199,15.6,60.9,ok
200,14.86,57.8,ok
201,19.34,66.7,ok
202,10.56,82.0,degraded
203,11.94,46.7,ok
204,6.56,69.4,ok
205,10.37,38.1,ok
206,12.24,39.4,ok
207,18.3,31.4,ok
208,20.31,59.6,ok
209,7.91,56.0,ok
210,11.51,47.4,ok
211,8.41,37.9,ok
212,10.9,52.4,ok
213,13.99,61.2,ok
214,25.6,60.7,ok
215,15.55,60.0,ok
216,19.92,75.5,ok
217,16.17,96.7,ok
218,10.86,39.8,ok
219,17.07,48.5,ok
220,10.72,49.2,ok
221,14.86,75.5,ok
222,19.78,57.8,ok
223,6.87,64.7,ok
224,13.32,32.6,ok
225,7.22,42.8,ok
226,14.32,82.3,ok
227,11.62,79.8,ok
228,11.76,71.7,ok
229,9.52,81.3,degraded
230,10.91,69.9,ok
231,13.24,60.8,ok
232,17.15,62.1,ok
233,16.74,49.3,ok
234,11.35,51.9,ok
235,10.94,63.8,ok
236,20.36,52.3,ok
237,29.68,58.1,ok
238,18.17,53.8,ok
239,12.13,75.5,degraded
240,23.24,59.6,ok
241,20.77,50.3,ok
242,13.34,64.4,ok
243,17.68,57.1,ok
244,6.76,70.4,ok
245,31.63,54.7,ok
246,8.69,89.3,degraded
247,13.44,61.4,ok
248,7.28,43.1,ok
249,8.22,60.9,ok
250,9.41,64.4,ok
251,14.7,74.1,ok
252,23.91,62.3,ok
253,23.94,60.3,ok
254,6.94,80.9,degraded
255,9.58,71.0,ok
256,19.0,57.9,ok
257,9.45,47.5,degraded
258,10.82,65.4,ok
259,12.28,66.9,ok
260,25.65,44.7,ok
261,10.41,51.0,ok
262,14.97,48.8,ok
263,18.76,74.9,ok
264,18.63,53.8,ok
265,12.8,56.4,degraded
266,9.29,50.8,ok
267,10.51,63.9,degraded
268,9.42,52.0,ok
269,17.58,75.3,ok
270,30.98,69.1,ok
271,15.02,56.1,ok
272,22.25,29.4,ok
273,7.43,55.4,ok
274,20.14,61.5,ok
275,21.95,64.3,ok
276,10.84,65.7,ok
277,19.88,59.6,ok
278,15.5,53.7,ok
279,8.83,57.3,ok
280,23.2,81.9,ok
281,18.08,52.8,ok
282,8.7,56.8,ok
283,24.37,45.7,ok
284,11.25,54.6,ok
285,29.7,74.9,ok
286,6.9,62.5,ok
287,8.52,38.1,ok
288,20.17,64.6,ok
289,15.21,36.0,ok
290,8.98,43.7,ok
291,6.82,71.3,ok
292,16.41,49.0,ok
293,13.35,58.0,ok
294,18.02,55.5,ok
295,6.04,72.5,ok
296,8.63,38.9,ok
297,8.46,64.0,ok
298,14.25,56.2,ok
299,19.42,38.4,ok
300,15.18,59.9,ok
301,24.05,42.2,ok
302,8.57,48.8,ok
303,7.14,42.0,ok
304,16.97,62.1,ok
305,33.67,55.6,ok
306,19.89,84.5,ok
307,15.49,66.6,ok
308,13.71,47.7,degraded
309,17.91,80.2,ok
310,30.96,78.0,ok
311,6.3,55.7,ok
312,8.92,56.9,ok
313,19.27,37.5,ok
314,11.07,44.3,ok
315,7.12,69.9,ok
316,20.45,67.5,ok
317,11.85,33.2,ok
318,17.85,68.6,ok
319,11.12,57.6,ok
320,10.94,68.9,ok
321,30.89,60.6,ok
322,27.56,75.3,ok
323,12.06,58.5,degraded
324,15.92,93.8,ok
325,8.85,51.4,ok
326,14.98,67.8,ok
327,10.03,63.9,ok
328,6.53,67.5,ok
329,8.4,73.0,ok
330,57.86,38.0,ok
331,7.22,48.1,ok
332,14.03,83.3,degraded
333,20.99,42.1,ok
334,11.15,52.1,ok
335,22.47,63.6,degraded
336,10.45,70.5,degraded
337,15.03,55.1,ok
338,24.83,77.3,ok
339,13.27,56.8,ok
340,9.79,49.0,ok
341,20.97,64.6,ok
342,27.17,86.5,ok
343,19.75,56.2,ok
344,7.8,49.8,ok
345,17.92,48.0,ok
346,9.93,36.9,ok
347,17.99,63.1,ok
348,7.6,73.0,ok
349,14.56,55.3,ok
350,13.39,58.9,ok
351,8.07,56.2,ok
352,9.46,47.4,ok
353,16.89,42.4,ok
354,11.83,67.6,ok
355,11.8,47.9,ok
356,11.97,49.5,ok
357,41.25,75.6,ok
358,11.43,62.3,ok
359,15.59,59.8,ok
360,13.25,64.4,ok
361,15.28,70.7,ok
362,14.01,71.8,ok
363,27.07,56.9,ok
364,10.13,66.3,ok
365,17.94,47.6,ok
366,12.41,36.1,ok
367,16.21,59.4,ok
368,10.34,32.4,ok
369,34.22,51.5,ok
370,8.51,68.9,ok
371,20.76,40.4,ok
372,12.24,57.1,ok
373,10.2,54.3,ok
374,14.24,40.7,ok
375,7.02,68.0,ok
376,12.78,52.7,ok
377,10.97,79.8,ok
378,16.18,39.9,ok
379,10.82,59.4,ok
380,23.57,62.4,ok
381,5.08,92.8,ok
382,10.61,56.5,ok
383,13.51,63.7,ok
384,13.43,55.7,ok
385,10.36,60.0,ok
386,16.17,51.3,ok
387,11.43,49.6,ok
388,18.95,69.5,ok
389,10.2,67.0,ok
390,21.13,68.5,ok
391,20.94,38.9,ok
392,8.1,60.9,ok
393,7.38,58.6,ok
394,9.46,59.9,ok
395,6.91,35.7,ok
396,14.57,55.4,ok
397,13.92,73.0,ok
398,15.71,55.8,ok
399,15.68,42.1,degraded
400,6.22,70.2,ok
401,9.77,55.6,ok
402,19.34,48.7,degraded
403,12.28,65.7,ok
404,7.97,47.7,ok
405,8.8,74.7,ok
406,21.63,59.1,ok
407,18.39,79.3,ok
408,14.08,61.2,ok
409,18.66,53.9,ok
410,11.19,47.5,ok
411,14.15,57.3,ok
412,11.44,68.9,ok
413,16.57,64.2,ok
414,17.41,55.0,ok
415,16.61,63.4,ok
416,13.75,54.3,ok
417,26.06,59.4,ok
418,11.14,70.7,ok
419,11.05,35.0,ok
420,12.43,61.1,degraded
421,22.18,71.1,ok
422,14.12,49.7,ok
423,13.16,77.5,ok
424,14.88,60.2,ok
425,17.37,49.4,ok
426,18.52,45.9,ok
427,42.01,74.9,ok
428,13.32,45.2,ok
429,12.14,67.4,ok
430,10.74,63.7,ok
431,5.13,51.0,ok
432,13.47,45.9,ok
433,17.09,51.1,ok
434,5.83,59.9,ok
435,7.91,41.8,ok
436,33.23,77.7,ok
437,9.01,50.0,ok
438,23.81,51.0,ok
439,15.86,52.8,ok
440,10.41,67.3,ok
441,11.16,82.2,ok
442,11.12,58.1,ok
443,19.19,57.8,ok
444,17.65,65.5,ok
445,17.35,50.5,ok
446,6.53,77.0,ok
447,9.12,74.8,ok
448,7.32,68.6,degraded
449,19.21,66.8,ok
450,9.3,67.7,ok
451,4.96,51.3,ok
452,6.74,70.5,ok
453,12.62,70.0,ok
454,20.02,52.9,ok
455,16.57,71.0,ok
456,31.03,49.8,ok
457,14.99,63.2,ok
458,20.95,58.8,ok
459,19.59,51.3,ok
460,8.31,57.7,ok
461,6.41,42.6,ok
462,5.6,61.5,ok
463,14.55,61.2,ok
464,22.49,54.4,ok
465,8.01,62.5,ok
466,12.5,71.0,ok
467,24.1,57.0,degraded
468,15.84,70.0,ok
469,15.08,28.3,ok
470,30.61,64.0,ok
471,22.79,80.9,ok
472,10.64,62.3,ok
473,8.68,49.4,ok
474,19.3,58.3,ok
475,19.28,39.0,ok
476,12.64,50.5,ok
477,15.12,65.4,ok
478,13.24,68.3,ok
479,23.69,51.4,ok
480,66.07,57.1,ok
481,15.9,54.6,ok
482,15.02,50.1,ok
483,37.02,70.6,ok
484,30.18,77.8,ok
485,15.92,71.4,ok
486,17.12,37.5,ok
487,23.65,73.4,degraded
488,10.48,27.5,ok
489,10.98,60.0,ok
490,17.38,48.4,ok
491,14.47,55.8,ok
492,22.83,44.4,ok
493,13.0,51.6,ok
494,8.9,31.5,ok
495,23.33,50.6,ok
496,24.75,65.7,ok
497,19.63,44.7,ok
498,6.58,56.1,ok
499,19.64,79.0,ok
500,22.19,43.2,ok
501,12.96,45.9,ok
502,11.0,33.4,ok
503,21.11,54.4,ok
504,8.92,34.0,ok
505,14.12,61.5,ok
506,9.0,59.5,ok
507,6.91,86.3,ok
508,9.84,77.8,ok
509,14.04,36.0,ok
510,13.04,62.3,ok
511,15.51,68.7,ok
512,9.98,54.2,ok
513,48.48,54.0,ok
514,18.49,43.8,degraded
515,11.29,57.4,ok
516,14.53,54.1,ok
517,26.94,68.1,ok
518,22.61,59.3,ok
519,13.37,60.3,ok
520,12.38,64.1,ok
521,15.17,65.5,ok
522,15.46,43.6,ok
523,6.87,57.6,ok
524,6.44,63.6,ok
525,13.92,60.4,ok
526,6.82,59.9,ok
527,14.49,53.0,ok
528,12.95,60.6,ok
529,14.43,63.5,degraded
530,9.42,53.6,ok
531,22.28,76.6,ok
532,9.0,58.9,ok
533,15.48,58.6,degraded
534,23.28,48.4,degraded
535,5.08,54.5,ok
536,25.44,54.6,ok
537,15.62,48.5,ok
538,12.42,58.7,ok
539,13.55,56.1,ok
540,14.01,48.2,ok
541,21.44,58.8,ok
542,28.0,69.7,ok
543,20.63,58.4,ok
544,7.23,40.7,ok
