respondent_id,department,satisfaction,tenure_years,would_recommend,seat_count,comment
R00001,Engineering,Satisfied,4.3,True,33,Too slow on large files
R00002,Support,Dissatisfied,0.7,True,21,
R00003,Design,Very satisfied,4.8,True,33,Love the export options
R00004,Engineering,Very satisfied,4.5,False,14,
R00005,Engineering,Satisfied,2.2,True,16,Too slow on large files
R00006,Engineering,Satisfied,2.3,False,31,
R00007,Engineering,Neutral,3.4,False,30,Love the export options
R00008,Support,Neutral,3.2,True,4,Needs better reporting
R00009,Engineering,Satisfied,1.7,True,36,Works well for our team
R00010,Sales,Satisfied,2.6,True,17,Works well for our team
R00011,Sales,Neutral,1.3,False,8,
R00012,Engineering,Satisfied,1.2,True,21,
R00013,Operations,Very satisfied,5.3,False,38,Onboarding was confusing
R00014,Support,Neutral,2.1,True,7,
R00015,Support,Dissatisfied,0.8,True,14,Works well for our team
R00016,Sales,Neutral,0.8,True,10,Works well for our team
R00017,Design,Very satisfied,1.7,True,3,
R00018,Finance,Very satisfied,1.2,True,33,Love the export options
R00019,Sales,Satisfied,,False,15,Works well for our team
R00020,Operations,Neutral,0.9,True,15,Needs better reporting
R00021,Engineering,Satisfied,2.4,True,6,Too slow on large files
R00022,Sales,Neutral,2.0,True,32,Onboarding was confusing
R00023,Engineering,Very satisfied,4.2,True,24,Needs better reporting
R00024,Finance,Very satisfied,3.3,False,19,Needs better reporting
R00025,Operations,Satisfied,6.1,False,34,Too slow on large files
R00026,Engineering,Neutral,4.6,True,11,Works well for our team
R00027,Finance,Very satisfied,4.2,True,18,Works well for our team
R00028,Support,Very dissatisfied,3.1,False,18,Too slow on large files
R00029,Finance,Very dissatisfied,3.2,True,3,
R00030,Support,Satisfied,2.7,True,10,Needs better reporting
R00031,Sales,Neutral,5.3,True,29,Works well for our team
R00032,Sales,Neutral,2.4,True,37,Onboarding was confusing
R00033,Support,Neutral,0.6,True,18,Works well for our team
R00034,Sales,Very dissatisfied,2.8,True,5,Needs better reporting
R00035,Engineering,Satisfied,7.4,False,33,Needs better reporting
R00036,Operations,Neutral,5.0,True,29,Too slow on large files
R00037,Sales,Very satisfied,10.1,True,3,Too slow on large files
R00038,Sales,Dissatisfied,3.9,False,10,Too slow on large files
R00039,Engineering,Satisfied,,False,21,Love the export options
R00040,Engineering,Neutral,4.5,True,24,Needs better reporting
R00041,Sales,Very dissatisfied,7.8,True,8,Works well for our team
R00042,Design,Satisfied,2.6,True,3,Love the export options
R00043,Support,Very dissatisfied,4.1,True,17,
R00044,Support,Dissatisfied,7.7,False,24,Needs better reporting
R00045,Sales,Neutral,1.6,True,16,Works well for our team
R00046,Operations,Satisfied,1.6,True,8,Too slow on large files
R00047,Support,Very dissatisfied,6.9,True,35,Love the export options
R00048,Engineering,Dissatisfied,11.3,True,22,
R00049,Support,Very dissatisfied,2.0,False,14,
R00050,Support,Very satisfied,5.4,True,36,Onboarding was confusing
R00051,Sales,Very satisfied,2.9,False,20,Onboarding was confusing
R00052,Engineering,Very satisfied,3.5,False,35,Needs better reporting
R00053,Finance,Neutral,4.3,False,8,
R00054,Engineering,Satisfied,3.5,True,12,Works well for our team
R00055,Design,Satisfied,1.8,False,12,Too slow on large files
R00056,Operations,Dissatisfied,4.8,True,33,Works well for our team
R00057,Support,Neutral,4.5,False,19,Needs better reporting
R00058,Finance,Dissatisfied,1.2,True,12,Onboarding was confusing
R00059,Support,Dissatisfied,3.9,False,23,Needs better reporting
R00060,Finance,Satisfied,2.4,True,39,Needs better reporting
R00061,Engineering,Neutral,2.3,False,31,Works well for our team
R00062,Design,Satisfied,2.4,False,36,Too slow on large files
R00063,Engineering,Satisfied,2.0,True,11,Needs better reporting
R00064,Support,Dissatisfied,1.4,False,24,Love the export options
R00065,Engineering,Neutral,4.6,True,28,
R00066,Engineering,Neutral,6.9,True,2,
R00067,Engineering,Satisfied,2.1,True,12,Works well for our team
R00068,Operations,Neutral,,False,20,Needs better reporting
R00069,Engineering,Very satisfied,3.0,True,22,Works well for our team
R00070,Engineering,Satisfied,5.2,True,24,Onboarding was confusing
R00071,Support,Dissatisfied,4.4,True,23,Works well for our team
R00072,Support,Neutral,0.7,False,13,Works well for our team
R00073,Operations,Very satisfied,2.5,True,11,Too slow on large files
R00074,Operations,Very dissatisfied,1.8,True,16,
R00075,Support,Very dissatisfied,1.8,False,36,Too slow on large files
R00076,Operations,Satisfied,,False,21,Needs better reporting
R00077,Engineering,Neutral,0.7,True,14,
R00078,Sales,Satisfied,4.3,False,26,Works well for our team
R00079,Support,Dissatisfied,3.6,False,29,
R00080,Finance,Dissatisfied,7.0,True,38,Too slow on large files
R00081,Finance,Very satisfied,7.0,False,33,Love the export options
R00082,Engineering,Very satisfied,2.5,True,16,Works well for our team
R00083,Operations,Dissatisfied,1.2,True,11,Love the export options
R00084,Operations,Very satisfied,4.3,True,6,Needs better reporting
